Council Code,Council Name,AEM Group Name,Council Folder Path,Folder Type,Notes
100,Girl Scout Central,(no council group - GSUSA-owned),/content/dam/gsusa/councils/100-girl-scout-central,GSUSA-owned (shared read to all councils),"Treated as GSUSA folder, not a council (MOM). Managed by GSUSA Content Creators."
800,Juliette Gordon Low Birthplace,council-800-collaborators,/content/dam/gsusa/councils/800-juliette-gordon-low-birthplace,Council,Full RWCD within own folder; view shared GSUSA folders.
700,USA Girl Scouts Overseas,council-700-collaborators,/content/dam/gsusa/councils/700-usa-girl-scouts-overseas,Council,Full RWCD within own folder; view shared GSUSA folders.
603,Alaska,council-603-collaborators,/content/dam/gsusa/councils/603-alaska,Council,Full RWCD within own folder; view shared GSUSA folders.
607,Arizona Cactus-Pine,council-607-collaborators,/content/dam/gsusa/councils/607-arizona-cactus-pine,Council,Full RWCD within own folder; view shared GSUSA folders.
289,Black Diamond,council-289-collaborators,/content/dam/gsusa/councils/289-black-diamond,Council,Full RWCD within own folder; view shared GSUSA folders.
635,California’s Central Coast,council-635-collaborators,/content/dam/gsusa/councils/635-californias-central-coast,Council,Full RWCD within own folder; view shared GSUSA folders.
198,Caribe,council-198-collaborators,/content/dam/gsusa/councils/198-caribe,Council,Full RWCD within own folder; view shared GSUSA folders.
368,Carolinas Peaks to Piedmont,council-368-collaborators,/content/dam/gsusa/councils/368-carolinas-peaks-to-piedmont,Council,Full RWCD within own folder; view shared GSUSA folders.
131,Central & Southern New Jersey,council-131-collaborators,/content/dam/gsusa/councils/131-central-southern-new-jersey,Council,Full RWCD within own folder; view shared GSUSA folders.
116,Central and Western Massachusetts,council-116-collaborators,/content/dam/gsusa/councils/116-central-and-western-massachusetts,Council,Full RWCD within own folder; view shared GSUSA folders.
612,Central California South,council-612-collaborators,/content/dam/gsusa/councils/612-central-california-south,Council,Full RWCD within own folder; view shared GSUSA folders.
402,Central Illinois,council-402-collaborators,/content/dam/gsusa/councils/402-central-illinois,Council,Full RWCD within own folder; view shared GSUSA folders.
434,Central Indiana,council-434-collaborators,/content/dam/gsusa/councils/434-central-indiana,Council,Full RWCD within own folder; view shared GSUSA folders.
